filename,width,height,class,xmin,ymin,xmax,ymax
2022-05-30_200206_5_jpg.rf.02834536fedf7f97a1d71addfa8aabed.jpg,800,600,Bees,386,96,419,136
2022-05-30_200206_5_jpg.rf.02834536fedf7f97a1d71addfa8aabed.jpg,800,600,Bees,409,27,431,49
2022-05-30_200206_5_jpg.rf.02834536fedf7f97a1d71addfa8aabed.jpg,800,600,Bees,291,186,317,207

2022-05-27_212544_4_jpg.rf.02cff526990ce5f27999e918bca667c8.jpg,800,600,Bees,411,29,466,96
2022-05-27_212544_4_jpg.rf.02cff526990ce5f27999e918bca667c8.jpg,800,600,Bees,535,160,598,225
2022-05-27_155843_2_jpg.rf.02f16b5b7381f2d76b8730c483505867.jpg,800,600,Bees,37,123,101,183
2022-05-27_155843_2_jpg.rf.02f16b5b7381f2d76b8730c483505867.jpg,800,600,Bees,101,110,149,151
2022-05-27_155843_2_jpg.rf.02f16b5b7381f2d76b8730c483505867.jpg,800,600,Bees,486,174,711,387
2022-05-27_155843_2_jpg.rf.02f16b5b7381f2d76b8730c483505867.jpg,800,600,Bees,426,129,503,182
2022-05-27_155843_2_jpg.rf.02f16b5b7381f2d76b8730c483505867.jpg,800,600,Bees,427,0,471,44
2022-05-27_155843_2_jpg.rf.02f16b5b7381f2d76b8730c483505867.jpg,800,600,Bees,433,49,492,82
2022-05-27_224222_1_jpg.rf.04e4c61b1fd095fd6ad6b709c3a119e0.jpg,800,600,Bees,508,119,578,199
2022-05-30_172846_2_jpg.rf.03840f1a1d39bf814c6d9e93189b434f.jpg,800,600,Bees,444,195,546,256
2022-05-30_172846_2_jpg.rf.03840f1a1d39bf814c6d9e93189b434f.jpg,800,600,Bees,413,163,487,216
2022-05-30_172846_2_jpg.rf.03840f1a1d39bf814c6d9e93189b434f.jpg,800,600,Bees,483,158,542,207
2022-05-30_172846_2_jpg.rf.03840f1a1d39bf814c6d9e93189b434f.jpg,800,600,Bees,219,125,312,192
2022-05-30_172846_2_jpg.rf.03840f1a1d39bf814c6d9e93189b434f.jpg,800,600,Bees,352,26,392,67
2022-05-30_172846_2_jpg.rf.03840f1a1d39bf814c6d9e93189b434f.jpg,800,600,Bees,222,66,268,108
2022-05-28_005008_1_jpg.rf.0526bf32464ff629f3f0d5cdb0632078.jpg,800,600,Bees,159,164,244,243
2022-05-28_005008_1_jpg.rf.0526bf32464ff629f3f0d5cdb0632078.jpg,800,600,Bees,138,89,211,159
2022-05-28_005008_1_jpg.rf.0526bf32464ff629f3f0d5cdb0632078.jpg,800,600,Bees,291,138,353,226
2022-05-28_005008_1_jpg.rf.0526bf32464ff629f3f0d5cdb0632078.jpg,800,600,Bees,363,91,411,130
2022-05-30_183006_1_jpg.rf.035701470bda7083bd622c6b695ac833.jpg,800,600,Bees,435,202,536,261
2022-05-30_183006_1_jpg.rf.035701470bda7083bd622c6b695ac833.jpg,800,600,Bees,490,130,529,178
2022-05-30_183006_1_jpg.rf.035701470bda7083bd622c6b695ac833.jpg,800,600,Bees,523,139,573,185
2022-05-30_183006_1_jpg.rf.035701470bda7083bd622c6b695ac833.jpg,800,600,Bees,271,187,340,244
2022-05-30_183006_1_jpg.rf.035701470bda7083bd622c6b695ac833.jpg,800,600,Bees,92,207,144,255
2022-05-30_183006_1_jpg.rf.035701470bda7083bd622c6b695ac833.jpg,800,600,Bees,315,73,401,140
2022-05-30_183006_1_jpg.rf.035701470bda7083bd622c6b695ac833.jpg,800,600,Bees,463,0,504,30
2022-05-30_183006_1_jpg.rf.035701470bda7083bd622c6b695ac833.jpg,800,600,Bees,485,109,529,139
2022-05-30_183006_1_jpg.rf.035701470bda7083bd622c6b695ac833.jpg,800,600,Bees,458,100,516,134
2022-05-30_183006_1_jpg.rf.035701470bda7083bd622c6b695ac833.jpg,800,600,Bees,473,62,504,89
2022-05-30_183006_1_jpg.rf.035701470bda7083bd622c6b695ac833.jpg,800,600,Bees,459,83,490,114
2022-05-30_183006_1_jpg.rf.035701470bda7083bd622c6b695ac833.jpg,800,600,Bees,456,45,489,73
2022-05-30_183006_1_jpg.rf.035701470bda7083bd622c6b695ac833.jpg,800,600,Bees,433,64,468,104
2022-05-30_183006_1_jpg.rf.035701470bda7083bd622c6b695ac833.jpg,800,600,Bees,434,10,456,53
2022-05-28_001422_4_jpg.rf.079600e62b0635d4eac2be7884943728.jpg,800,600,Bees,134,146,170,183
2022-05-28_001422_4_jpg.rf.079600e62b0635d4eac2be7884943728.jpg,800,600,Bees,187,190,215,221
2022-05-28_001422_4_jpg.rf.079600e62b0635d4eac2be7884943728.jpg,800,600,Bees,162,76,197,108
2022-05-28_001422_4_jpg.rf.079600e62b0635d4eac2be7884943728.jpg,800,600,Bees,233,25,314,81
2022-05-28_001422_4_jpg.rf.079600e62b0635d4eac2be7884943728.jpg,800,600,Bees,410,98,474,139
2022-05-28_001422_4_jpg.rf.079600e62b0635d4eac2be7884943728.jpg,800,600,Bees,337,536,566,600
2022-05-28_033339_3_jpg.rf.07fcf445f7019e32ff92892c0c4654b7.jpg,800,600,Bees,408,67,448,99
2022-05-28_033339_3_jpg.rf.07fcf445f7019e32ff92892c0c4654b7.jpg,800,600,Bees,412,79,442,113
2022-05-28_033339_3_jpg.rf.07fcf445f7019e32ff92892c0c4654b7.jpg,800,600,Bees,436,78,469,112
2022-05-28_033339_3_jpg.rf.07fcf445f7019e32ff92892c0c4654b7.jpg,800,600,Bees,471,67,511,103
2022-05-27_182657_5_jpg.rf.062d1e3a90257d55a81b79dac751a44b.jpg,800,600,Bees,383,22,429,58
2022-05-27_182657_5_jpg.rf.062d1e3a90257d55a81b79dac751a44b.jpg,800,600,Bees,254,51,306,116
2022-05-27_182657_5_jpg.rf.062d1e3a90257d55a81b79dac751a44b.jpg,800,600,Bees,498,154,558,202
2022-05-27_225742_2_jpg.rf.086e7a13575a13d0109ce72d77e64789.jpg,800,600,Bees,45,43,109,138
2022-05-27_225742_2_jpg.rf.086e7a13575a13d0109ce72d77e64789.jpg,800,600,Bees,111,83,155,117
2022-05-27_225742_2_jpg.rf.086e7a13575a13d0109ce72d77e64789.jpg,800,600,Bees,438,91,500,130
2022-05-27_225742_2_jpg.rf.086e7a13575a13d0109ce72d77e64789.jpg,800,600,Bees,475,132,551,175
2022-05-27_184217_2_jpg.rf.08525e5500acb2bfe6b5f8fe3189345f.jpg,800,600,Bees,171,219,238,269
2022-05-27_184217_2_jpg.rf.08525e5500acb2bfe6b5f8fe3189345f.jpg,800,600,Bees,455,52,494,108
2022-05-27_195855_4_jpg.rf.0893e8da943f1fc4e63a4ca4700433f4.jpg,800,600,Bees,457,145,537,214
2022-05-27_195855_4_jpg.rf.0893e8da943f1fc4e63a4ca4700433f4.jpg,800,600,Bees,483,93,535,145
2022-05-27_195855_4_jpg.rf.0893e8da943f1fc4e63a4ca4700433f4.jpg,800,600,Bees,396,48,432,86
2022-05-27_195855_4_jpg.rf.0893e8da943f1fc4e63a4ca4700433f4.jpg,800,600,Bees,444,37,470,73
2022-05-27_215624_2_jpg.rf.07ffa45a08781df240fff893d729f53a.jpg,800,600,Bees,153,38,193,68

2022-05-28_011542_3_jpg.rf.08a34c6d1804fc4fae850699ad96bd90.jpg,800,600,Bees,108,42,158,87
2022-05-27_173551_2_jpg.rf.09f09ce8fe748b87ba096bd90cc44640.jpg,800,600,Bees,349,2,405,41
2022-05-27_173551_2_jpg.rf.09f09ce8fe748b87ba096bd90cc44640.jpg,800,600,Bees,175,411,269,489
2022-05-27_173551_2_jpg.rf.09f09ce8fe748b87ba096bd90cc44640.jpg,800,600,Bees,507,120,561,167
2022-05-28_040924_3_jpg.rf.0a0c3f8e08249f57ee62f50daf77c2b3.jpg,800,600,Bees,510,393,741,590
2022-05-28_040924_3_jpg.rf.0a0c3f8e08249f57ee62f50daf77c2b3.jpg,800,600,Bees,3,246,41,309
2022-05-28_040924_3_jpg.rf.0a0c3f8e08249f57ee62f50daf77c2b3.jpg,800,600,Bees,120,375,183,435
2022-05-28_040924_3_jpg.rf.0a0c3f8e08249f57ee62f50daf77c2b3.jpg,800,600,Bees,85,180,150,244
2022-05-28_040924_3_jpg.rf.0a0c3f8e08249f57ee62f50daf77c2b3.jpg,800,600,Bees,194,113,248,159
2022-05-28_040924_3_jpg.rf.0a0c3f8e08249f57ee62f50daf77c2b3.jpg,800,600,Bees,0,156,15,193
2022-05-28_040924_3_jpg.rf.0a0c3f8e08249f57ee62f50daf77c2b3.jpg,800,600,Bees,501,103,594,245
2022-05-28_040924_3_jpg.rf.0a0c3f8e08249f57ee62f50daf77c2b3.jpg,800,600,Bees,303,34,391,105
2022-05-28_040924_3_jpg.rf.0a0c3f8e08249f57ee62f50daf77c2b3.jpg,800,600,Bees,210,0,235,27
2022-05-28_040924_3_jpg.rf.0a0c3f8e08249f57ee62f50daf77c2b3.jpg,800,600,Bees,422,158,484,219
2022-05-28_040924_3_jpg.rf.0a0c3f8e08249f57ee62f50daf77c2b3.jpg,800,600,Bees,472,151,538,189
2022-05-28_040924_3_jpg.rf.0a0c3f8e08249f57ee62f50daf77c2b3.jpg,800,600,Bees,466,22,497,99
2022-05-28_040924_3_jpg.rf.0a0c3f8e08249f57ee62f50daf77c2b3.jpg,800,600,Bees,389,73,417,102
2022-05-28_040924_3_jpg.rf.0a0c3f8e08249f57ee62f50daf77c2b3.jpg,800,600,Bees,423,82,457,113
2022-05-28_040924_3_jpg.rf.0a0c3f8e08249f57ee62f50daf77c2b3.jpg,800,600,Bees,425,2,481,80
2022-05-28_040924_3_jpg.rf.0a0c3f8e08249f57ee62f50daf77c2b3.jpg,800,600,Bees,199,424,234,460
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,32,42,108,114
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,281,216,327,288
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,266,158,301,188
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,368,174,450,232
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,514,146,657,278
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,549,248,778,358
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,401,395,493,505
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,440,468,613,563
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,506,508,707,600
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,442,313,558,371
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,436,254,518,323
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,525,7,599,89
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,502,64,543,151
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,397,106,461,131
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,358,121,383,168
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,324,117,341,158
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,615,348,770,470
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,379,119,409,151
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,372,92,396,112
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,354,73,389,95
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,360,57,374,77
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,336,98,371,119
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,469,55,504,112
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,457,6,504,56
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,402,44,441,76
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,439,64,462,93
2022-05-30_193633_4_jpg.rf.09dc704fd7216c13f50a0bacc34e0fd5.jpg,800,600,Bees,446,15,465,40
2022-05-27_173551_5_jpg.rf.0a4ff3baf5cc66b2cf127a37f5623da7.jpg,800,600,Bees,81,162,155,241
2022-05-27_173551_5_jpg.rf.0a4ff3baf5cc66b2cf127a37f5623da7.jpg,800,600,Bees,347,182,482,272
